"Sr_No","Product_Name","Quantity","Unit","MRP","Purchase_Rate","Amount","Category","Cost_Price","Actual_Margin_Percent","Actual_Profit_Per_Unit","Total_Actual_Profit","SP_5_Percent","SP_10_Percent","SP_5_Margin_Percent","SP_10_Margin_Percent","Brand","Size","Supplier","Last_Updated","Status","Stock_Quantity","Barcode"
"189","PARLE HIDE & SEEK 30/-","56","PCS","30.0","30.0","1680.0","Biscuits","30.0","0.0","0.0","0.0","30.0","30.0","0.0","0.0","","","","","","","8901719105913.0"
"190","PARLE HIDE & SEEK 10/-","130","PCS","10.0","10.0","1300.0","Biscuits","10.0","0.0","0.0","0.0","10.0","10.0","0.0","0.0","","","","","","","8901719100369.0"
"191","PARLE KRACKJACK 10/-","102","PCS","10.0","10.0","1020.0","Biscuits","10.0","0.0","0.0","0.0","10.0","10.0","0.0","0.0","","","","","","","8901719135255.0"
"192","PARLE MONACO 10/-","102","PCS","10.0","10.0","1020.0","Biscuits","10.0","0.0","0.0","0.0","10.0","10.0","0.0","0.0","","","","","","","8901719135118.0"
"193","PATANJALI DISHBAR 10/-","51","PCS","10.0","10.0","510.0","Home Care","10.0","0.0","0.0","0.0","10.0","10.0","0.0","0.0","","","","","","","8904422710153.0"
"194","PATANJALI ALOEVERA GEL 100/-","12","PCS","100.0","100.0","936.0","Personal Care","78.0","28.21","22.0","264.0","98.9","97.8","26.79","25.38","","","","","","","8904109400643.0"
"195","PATANJALI SOAP ALOEVERA 115/-","24","PCS","115.0","115.0","2125.2","Personal Care","88.55","29.87","26.45","634.8","113.68","112.35","28.38","26.88","","","","","","","8904422710061.0"
"196","PATANJALI PASTE 100GM 63/-","60","PCS","63.0","63.0","3137.4","Personal Care","52.29","20.48","10.71","642.6","62.46","61.93","19.45","18.44","","","","","","","8904422708730.0"
"197","PATANJALI PASTE 200GM 120/-","36","PCS","120.0","120.0","3585.6","Personal Care","99.6","20.48","20.4","734.4","118.98","117.96","19.46","18.43","","","","","","","8904422711105.0"
"198","PEARS 58/- YELLOW","108","PCS","58.0","53.7","5219.64","Personal Care","48.33","20.01","9.67","1044.36","57.52","57.03","19.02","18.0","","","","","","","8901030766947"
"199","PEARS SET 175/-","14","PCS","175.0","162.04","2087.08","Personal Care","149.08","17.39","25.92","362.88","173.7","172.41","16.51","15.65","","","","","","","8901030764172.0"
"200","PEPSODENT 200GM 125/-","12","PCS","125.0","113.64","995.49","Personal Care","82.96","50.68","42.04","504.48","122.9","120.8","48.14","45.61","","","","","","","8906073140327.0"
"201","PEPSODENT 100GM 90/-","36","PCS","90.0","81.82","2150.23","Personal Care","59.73","50.68","30.27","1089.72","88.49","86.97","48.15","45.61","","","","","","","8906073141577.0"
"202","PONDS F W 50GM 98/- WHITE","18","PCS","98.0","98.0","1234.8","Personal Care","68.6","42.86","29.4","529.2","96.53","95.06","40.71","38.57","","","","","","","8901030989827.0"
"203","QUACKER OATS 500G 86/-","24","PCS","86.0","65.0","1560.0","Health Products","65.0","32.31","21.0","504.0","84.95","83.9","30.69","29.08","","","","","","","8901491103794.0"
"204","QUACKER OATS 1KG 210/-","12","PCS","210.0","156.0","1872.0","Health Products","156.0","34.62","54.0","648.0","207.3","204.6","32.88","31.15","","","","","","","8901491103800.0"
"205","RED LABEL 1KG 560/-","6","PCS","560.0","380.0","2280.0","Beverages","380.0","47.37","180.0","1080.0","551.0","542.0","45.0","42.63","","","","","","","8901030893575.0"
"206","RED LABEL NATURAL CARE 250GM","12","PCS","160.0","149.53","1668.75","Beverages","139.06","15.06","20.94","251.28","158.95","157.91","14.3","13.56","","","","","","","8901030882555.0"
"207","RED LABEL 250GM 135/-","24","PCS","135.0","126.17","2816.11","Beverages","117.34","15.05","17.66","423.84","134.12","133.23","14.3","13.54","","","","","","","8901030876943.0"
"208","RIN ADVANCE 10/-","72","PCS","10.0","9.93","715.0","Home Care","9.93","0.7","0.07","5.04","10.0","9.99","0.7","0.6","","","","","","","8909106047075.0"
"209","RIN ADVANCE SET 100/-","12","PCS","100.0","92.59","1033.3","Home Care","86.11","16.13","13.89","166.68","99.31","98.61","15.33","14.52","","","","","","","8909106016231.0"
"210","RIN ALLA 500GM 89/-","24","PCS","89.0","82.41","1661.39","Home Care","69.22","28.58","19.78","474.72","88.01","87.02","27.15","25.72","","","","","","","8901030761195.0"
"211","RIN EXCEL 250GM 38/-","60","PCS","38.0","35.19","1984.72","Home Care","33.08","14.87","4.92","295.2","37.75","37.51","14.12","13.39","","","","","","","8909106040670.0"
"212","RIN EXCEL 125GM 10/-","122","PCS","10.0","10.0","1220.0","Home Care","10.0","0.0","0.0","0.0","10.0","10.0","0.0","0.0","","","","","","","8909106047211.0"
"213","RIN EXCEL 800GM 128/-","20","PCS","128.0","118.52","2180.77","Home Care","109.04","17.39","18.96","379.2","127.05","126.1","16.52","15.65","","","","","","","8909106040694.0"
"214","RIN POWDER 1KG 100/-","25","PCS","100.0","92.59","2106.42","Home Care","84.26","18.68","15.74","393.5","99.21","98.43","17.74","16.82","","","","","","","8901030752384.0"
"215","SAFFOLA GOLD 5LI+1L 1122/-","3","PCS","1122.0","970.0","3880.0","Cooking Oil","970.0","15.67","152.0","608.0","1114.4","1106.8","14.89","14.1","","","","","","","8901088716581.0"
"216","SANTOOR H/W 750ML 99/-","12","PCS","99.0","74.0","888.0","Personal Care","74.0","33.78","25.0","300.0","97.75","96.5","32.09","30.41","","","","","","","8901399241086.0"
"217","SANTOOR SET 165/-","18","PCS","165.0","146.0","2628.0","Personal Care","146.0","13.01","19.0","342.0","164.05","163.1","12.36","11.71","","","","","","","8901399005305.0"
